,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG
0,0,32,32,28,52,140,72,22,24,2,126,52,90,0,24,0,20,80,26,0,40,160,6,66,0,422,44,182,366,190,178,2,14,0,2,160,4,70,30,48,186,148,202,134,16,74,22,22,24,74,6,0,13,18,13,7,9,7,16,19,9,9,10,18,10,4,8,13,12,8,5,7,16,10,13,12,12,16,20,18,12,7,5,16,16,8,8,8,20,15,4,8,12,17,20,10,12,7,11,15,12,13
1,1,200,2,32,48,26,78,0,0,6,18,4,128,0,42,14,26,168,70,0,214,0,16,86,22,24,248,224,318,0,176,156,6,112,20,18,16,192,0,0,0,246,340,218,220,154,96,44,34,116,76,1,9,7,8,7,7,7,7,6,5,3,2,4,4,12,4,8,10,13,5,13,0,4,14,5,9,7,8,10,4,6,9,9,6,6,5,2,6,4,6,4,6,10,10,7,12,7,5,10,11,11
2,2,14,178,214,48,134,0,8,20,36,148,30,60,20,94,0,226,60,56,0,0,0,0,42,6,74,66,296,206,194,118,68,44,96,0,214,14,88,22,0,150,26,130,252,114,268,226,48,428,32,114,2,9,10,11,13,14,5,8,9,10,9,3,10,8,8,2,12,6,10,7,3,2,8,10,8,11,8,13,12,13,11,6,9,6,5,8,3,5,6,2,4,9,4,8,12,9,5,7,10,11,10
3,3,100,90,108,120,40,38,40,0,38,96,78,84,36,34,76,2,18,80,62,0,70,20,58,38,66,230,50,192,90,0,44,10,112,6,192,0,8,38,0,218,86,276,12,36,42,144,156,50,64,60,3,13,12,12,15,10,13,14,13,4,9,4,7,6,14,17,7,14,10,11,9,8,9,6,8,9,17,13,17,7,7,10,14,12,3,13,2,9,8,6,21,13,19,15,11,14,19,15,16,11,10
4,4,54,26,114,44,128,122,400,56,32,96,2,30,2,62,4,30,118,78,76,54,16,0,10,50,106,92,42,62,82,18,58,10,80,24,0,54,116,32,0,0,72,76,96,28,252,184,76,100,96,210,4,10,15,16,8,11,10,17,16,12,5,3,12,9,9,8,8,11,10,9,9,8,7,7,13,13,15,15,12,9,10,12,14,15,13,1,9,15,9,3,7,13,12,9,10,12,9,9,13,11,17
5,5,26,34,218,0,24,78,12,138,100,0,80,108,50,132,34,76,276,142,0,0,4,58,2,18,50,102,20,286,224,4,126,24,70,88,144,28,64,68,0,74,58,308,40,0,114,64,66,166,72,108,5,4,13,18,1,8,8,4,11,6,2,5,10,6,10,7,10,8,5,1,0,2,9,9,6,9,8,8,13,14,13,9,2,11,10,12,2,5,4,7,6,11,12,8,5,13,10,8,13,8,10
6,6,4,244,134,54,36,48,158,112,52,32,0,110,4,102,0,50,0,30,0,0,4,24,68,36,124,12,290,256,206,44,6,30,372,128,70,0,50,62,0,76,178,272,98,60,106,16,96,76,0,98,6,3,9,5,7,6,9,8,9,6,7,2,9,4,6,4,12,7,8,0,1,3,9,9,8,9,9,9,8,13,11,8,8,10,5,11,2,7,5,5,14,16,12,9,10,6,5,11,14,8,16
7,7,18,108,158,62,130,12,32,42,0,0,0,60,4,104,52,36,8,10,34,26,82,4,112,0,118,84,134,64,138,126,142,56,126,60,64,0,62,6,28,110,168,100,4,56,48,90,42,196,62,204,7,6,11,11,11,16,7,6,9,3,3,2,13,7,15,16,14,6,8,13,7,9,8,11,7,14,8,8,11,12,16,9,6,12,5,7,0,10,10,5,14,13,9,10,12,11,6,11,12,9,17
8,8,48,48,36,156,256,306,72,98,0,32,0,0,6,22,8,10,178,130,170,0,6,52,0,4,62,212,126,260,162,52,130,36,54,84,74,0,72,2,20,72,108,176,292,110,162,78,140,134,68,18,8,6,12,12,13,15,11,6,13,4,7,1,4,10,4,6,10,12,8,7,4,6,6,5,9,11,8,13,13,10,10,8,5,12,10,6,3,12,10,4,11,13,13,10,7,8,7,8,8,10,11
9,9,28,234,208,12,24,306,134,126,26,76,0,44,14,82,2,0,80,54,68,130,94,0,86,0,64,16,118,182,100,154,14,60,132,44,32,0,190,0,0,40,110,38,76,0,158,0,44,32,98,166,9,4,11,11,11,12,15,13,9,5,15,3,7,5,6,6,9,12,4,9,9,12,7,12,4,13,4,11,12,11,17,12,11,9,5,13,0,12,3,3,8,14,10,7,8,8,6,6,13,11,16
